season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,5,JAX,BASELINE,2022-5-JAX,44,34.5,-9.5,6.68131
2022,5,JAX,Q8_BUDGET_SHRINK,2022-5-JAX,44,34.1798,-9.8202,6.84704
2022,5,KC,BASELINE,2022-5-KC,42,37.5135,-4.4865,3.03496
2022,5,KC,Q8_BUDGET_SHRINK,2022-5-KC,42,36.1515,-5.8485,3.76097
2022,5,LA,BASELINE,2022-5-LA,41,35.4865,-5.5135,3.54063
2022,5,LA,Q8_BUDGET_SHRINK,2022-5-LA,41,34.8253,-6.1747,3.90759
2022,5,LAC,BASELINE,2022-5-LAC,33,38.9048,5.9048,3.50829
2022,5,LAC,Q8_BUDGET_SHRINK,2022-5-LAC,33,37.0618,4.0618,2.75723
2022,5,LV,BASELINE,2022-5-LV,27,33.4915,6.4915,3.81869
2022,5,LV,Q8_BUDGET_SHRINK,2022-5-LV,27,33.52,6.52,3.83076
2022,5,MIA,BASELINE,2022-5-MIA,32,33.4915,1.4915,1.91118
2022,5,MIA,Q8_BUDGET_SHRINK,2022-5-MIA,32,33.52,1.52,1.92873
2022,5,MIN,BASELINE,2022-5-MIN,39,33.4915,-5.5085,3.25901
2022,5,MIN,Q8_BUDGET_SHRINK,2022-5-MIN,39,33.52,-5.48,3.29909
2022,5,NE,BASELINE,2022-5-NE,21,28.6486,7.6486,5.04832
2022,5,NE,Q8_BUDGET_SHRINK,2022-5-NE,21,30.3514,9.3514,6.33412
2022,5,NO,BASELINE,2022-5-NO,25,33.4915,8.4915,5.26805
